Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,"Solid Oak Mantel Beam - All Sizes, Oiled, Pre-Drilled, Free Fixings Included Fireplace Mantlepiece Wood Lintel for Log Burner Mantle Shelf","<p>Our Oak Mantel Beams are crafted to order, thus available in a variety of sizes and lengths - shall you need custom length please send a message with your requirements. We offer three different styles of finishing: sanded, lightly worked or heavily worked.<br><br>#NAME?<br>#NAME?<br>#NAME?<br><br>WHAT YOU WILL BE RECEIVING:<br><br>#NAME?<br>#NAME?<br>#NAME?<br><br>Our products are hand planed and sanded, therefore finished size can deviate up to 1/3"".<br><br>Please note, oak beams are natural products and comes with its own cracks, shakes, splits, knocks and other individual characteristics. Changes on appearance on some small level may continue until oak has fully settled. These are not considered as defects, we trust it will add a hint of nature to your home. <br><br>Product color is generally light oak, although it is not uncommon for it to be with some slightly darker shades.<br><br>As all beams are made to order we generally get them dispatched within 5 working days, but if you require your order before a certain date please get in touch to check we can meet your deadline prior to ordering.</p>",CraftWoodFurniture,Home & Garden > Decor > Decorative Accents,Shelf,"Oak Mantle, Oak Mantel, Lintel, Mantle Shelf, Oak Mantle Beam, Oak Mantle Fireplace, Oak Mantel Beam, Mantel Shelf, Floating Shelf, eichenbalken, viga madera, mensola camino, Traditional Beam",TRUE,Beam Size (Front Side x Top Side):,"3""x4"" (7.6x10.2cm)",Beam Lenght:,3ft (91.4cm),MANTLEBEAM2-0,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,https://i.etsystatic.com/19500261/r/il/73715e/5356976862/il_fullxfull.5356976862_1sow.jpg,1,"Solid Oak Mantel Beam - All Sizes, Oiled, Pre-Drilled, Free Fixings Included Fireplace Mantlepiece W",active
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x4"" (7.6x10.2cm)",,3.5ft (106.7cm),MANTLEBEAM2-1,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,https://i.etsystatic.com/19500261/r/il/e71a7c/5356977418/il_fullxfull.5356977418_c4jz.jpg,2,"Solid Oak Mantel Beam - All Sizes, Oiled, Pre-Drilled, Free Fixings Included Fireplace Mantlepiece W",
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x4"" (7.6x10.2cm)",,4ft (121.9cm),MANTLEBEAM2-2,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,https://i.etsystatic.com/19500261/r/il/eb619c/7733202541/il_fullxfull.7733202541_q74f.jpg,3,"Solid Oak Mantel Beam - All Sizes, Oiled, Pre-Drilled, Free Fixings Included Fireplace Mantlepiece W",
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x4"" (7.6x10.2cm)",,4.5ft (137.2cm),MANTLEBEAM2-3,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,https://i.etsystatic.com/19500261/r/il/99e2fd/3579645041/il_fullxfull.3579645041_8hz7.jpg,4,"Solid Oak Mantel Beam - All Sizes, Oiled, Pre-Drilled, Free Fixings Included Fireplace Mantlepiece W",
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x4"" (7.6x10.2cm)",,5ft (152.4cm),MANTLEBEAM2-4,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,https://i.etsystatic.com/19500261/r/il/f6fd33/3532002852/il_fullxfull.3532002852_iwrg.jpg,5,"Solid Oak Mantel Beam - All Sizes, Oiled, Pre-Drilled, Free Fixings Included Fireplace Mantlepiece W",
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x4"" (7.6x10.2cm)",,5.5ft (167.6cm),MANTLEBEAM2-5,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,https://i.etsystatic.com/19500261/r/il/c915b0/3579645035/il_fullxfull.3579645035_rjmx.jpg,6,"Solid Oak Mantel Beam - All Sizes, Oiled, Pre-Drilled, Free Fixings Included Fireplace Mantlepiece W",
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x4"" (7.6x10.2cm)",,6ft (182.9cm),MANTLEBEAM2-6,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,https://i.etsystatic.com/19500261/r/il/f64215/1767002754/il_fullxfull.1767002754_afa6.jpg,7,"Solid Oak Mantel Beam - All Sizes, Oiled, Pre-Drilled, Free Fixings Included Fireplace Mantlepiece W",
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x4"" (7.6x10.2cm)",,6.5ft (198.1cm),MANTLEBEAM2-7,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,https://i.etsystatic.com/19500261/r/il/2a5968/5405147543/il_fullxfull.5405147543_gic9.jpg,8,"Solid Oak Mantel Beam - All Sizes, Oiled, Pre-Drilled, Free Fixings Included Fireplace Mantlepiece W",
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x4"" (7.6x10.2cm)",,Sample2,MANTLEBEAM2-8,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,https://i.etsystatic.com/19500261/r/il/a085de/5405148585/il_fullxfull.5405148585_m1mq.jpg,9,"Solid Oak Mantel Beam - All Sizes, Oiled, Pre-Drilled, Free Fixings Included Fireplace Mantlepiece W",
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x5"" (7.6x12.7cm)",,3ft (91.4cm),MANTLEBEAM2-9,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,https://i.etsystatic.com/19500261/r/il/95f3f3/3532033742/il_fullxfull.3532033742_e3k6.jpg,10,"Solid Oak Mantel Beam - All Sizes, Oiled, Pre-Drilled, Free Fixings Included Fireplace Mantlepiece W",
